code	start	end	dist	de	dd
1	9	201	73	4	13
2	25	160	11	1	10
3	39	205	73	1	7
4	47	168	52	7	6
5	70	338	8	1	14
6	72	109	57	7	4
7	87	314	20	4	2
8	87	248	25	11	9
9	88	272	63	4	1
10	88	246	28	9	5
11	99	138	18	13	12
12	115	192	53	9	12
13	117	162	54	14	10
14	147	230	74	9	7
15	147	375	46	14	6
16	165	434	40	3	14
17	172	469	69	4	8
18	174	449	74	3	9
19	177	214	5	12	9
20	192	401	55	14	10
21	193	264	41	1	3
22	195	249	39	9	9
23	197	295	53	9	7
24	211	254	8	4	12
25	242	385	47	9	7
26	243	485	26	11	14
27	243	508	78	3	10
28	251	297	5	9	2
29	265	531	15	5	7
30	277	484	48	4	13
31	285	549	63	13	9
32	288	378	28	14	14
33	292	438	64	1	9
34	314	513	7	5	4
35	323	462	67	4	3
36	333	552	40	14	4
37	335	513	72	12	11
38	337	523	51	13	13
39	338	373	25	7	7
40	359	483	55	14	4
41	396	692	32	10	7
42	398	437	19	14	14
43	404	655	46	12	6
44	423	722	63	9	8
45	431	587	70	1	12
46	448	731	41	9	1
47	464	695	15	14	12
48	472	484	48	6	9
49	472	551	16	10	5
50	486	540	7	1	11
