code	start	end	dist	de	dd
1	9	145	18	3	11
2	25	100	45	14	11
3	28	58	77	2	5
4	31	153	24	2	2
5	31	179	77	3	12
6	32	279	31	2	4
7	38	91	71	14	4
8	39	112	57	5	10
9	42	317	72	14	3
10	47	148	66	3	6
11	53	174	19	6	3
12	53	337	9	6	4
13	57	293	72	13	6
14	70	305	16	13	11
15	72	213	61	6	12
16	82	320	21	14	8
17	87	225	29	3	13
18	87	121	34	12	13
19	88	284	26	6	3
20	88	232	30	8	14
21	91	104	65	8	8
22	99	335	66	12	2
23	99	277	38	7	7
24	105	399	37	2	11
25	115	151	75	7	6
26	117	351	36	8	1
27	119	377	18	3	12
28	121	332	76	13	1
29	127	334	61	12	11
30	128	273	29	4	13
31	128	263	46	2	4
32	147	251	23	10	11
33	147	229	45	14	2
34	151	407	59	6	11
35	163	308	16	10	10
36	165	370	43	10	13
37	172	395	6	3	14
38	174	292	49	1	10
39	177	289	29	12	7
40	183	276	72	10	7
41	185	418	8	13	8
42	192	458	40	12	9
43	193	336	66	2	14
44	195	312	74	10	9
45	197	214	48	11	8
46	202	361	37	1	1
47	211	392	16	7	9
48	242	298	15	1	7
49	243	253	59	11	9
50	243	432	42	5	10
51	244	292	33	9	9
52	244	343	7	5	4
53	251	335	32	4	7
54	257	493	28	4	2
55	265	398	58	9	8
56	265	371	56	9	5
57	267	559	51	12	10
58	273	489	25	14	3
59	277	319	58	12	13
60	285	410	34	8	1
61	288	476	72	1	9
62	290	473	40	4	3
63	291	534	44	9	14
64	292	434	14	8	8
65	314	417	78	8	9
66	321	525	46	14	5
67	323	518	28	11	5
68	333	507	8	2	13
69	335	535	51	9	2
70	335	349	55	5	8
71	337	552	8	8	7
72	338	574	36	1	10
73	358	441	14	12	5
74	359	587	15	13	2
75	370	406	32	5	6
76	376	408	50	10	10
77	384	601	76	1	8
78	388	488	44	11	12
79	389	450	66	7	14
80	396	614	49	13	2
81	396	467	39	5	4
82	398	512	39	3	6
83	398	536	38	5	8
84	404	508	10	7	4
85	420	436	41	4	7
86	423	606	5	11	7
87	425	680	39	4	8
88	426	451	74	8	10
89	430	609	58	9	2
90	431	607	67	14	10
91	442	534	13	14	7
92	448	678	66	6	1
93	449	628	6	1	4
94	459	583	40	9	9
95	464	703	45	6	5
96	472	701	41	12	2
97	472	728	53	5	5
98	486	596	30	8	6
99	487	718	72	13	1
100	488	676	40	14	4
